item,size,category,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
$12 Pasta Station,,BANQUETS,30,305.54,360,,,
$2 Appetizer (Per Piece),,BANQUETS,730,1310.76,1460,,,
$20 Bar Package,,BANQUETS,30,556.62,600,,,
$20 Lunch Ala Carte,,BANQUETS,342,5534.24,6840,,,
$23 Lunch Buffet,,BANQUETS,378,6381.41,8694,,,
$28 Lunch Buffet,,BANQUETS,117,2908.34,3276,,,
$3.50 Appetizer (Per Piece),,BANQUETS,40,94.7,140,,,
$30 Bar Package,,BANQUETS,17,440.94,510,,,
$30 Buffet,,BANQUETS,65,1811.09,1950,,,
$31 Lunch Buffet,,BANQUETS,50,1404.24,1550,,,
$35 Dinner Ala Carte,,BANQUETS,86,2399.28,3010,,,
$40 Dinner Buffet,,BANQUETS,65,2299.94,2600,,,
$41 Dinner Ala Carte,,BANQUETS,44,1555.47,1804,,,
$43 Dinner Buffet,,BANQUETS,88,3534.21,3784,,,
$45 Dinner Ala Carte,,BANQUETS,26,1017.9,1170,,,
$5 Mailing FEE,,GIFT CARD,1,5,5,,,
1800,Mix,LIQUOR,12,124,128,,,
2 Room Suite,,HOTEL ROOMS,16,3280,3280,,,
Absolut,DBL,LIQUOR,6,54,54,11.4,42.6,42.6
Absolut,Mix,LIQUOR,26,187.04,195,39,148.04,156
Absolut,Martini,LIQUOR,16,224,227,48,176,179
Absolut,RX,LIQUOR,2,20,21,4.8,15.2,16.2
Absolut Citron,Martini,LIQUOR,81,1101.32,1149.5,,,
Absolut Citron,Shot,LIQUOR,6,42,42,,,
Adult Brunch,,FOOD,1194,31105.39,31434,,,
Adult Grilled Cheese,,FOOD,9,100,100,,,
Adult Pasta,,FOOD,28,297.02,414,,,
Ala Vodka,Full,BANQUETS,1,71.98,80,,,
Ala Vodka,Half,BANQUETS,1,45,45,,,
Amaretto,Mix,LIQUOR,4,17.5,26,6,11.5,20
Amaretto,Shot,LIQUOR,2,12,12,1.6,10.4,10.4
Amaretto,RX,LIQUOR,1,9,9,2.4,6.6,6.6
Amaretto Di Sarona,Mix,LIQUOR,14,116.9,119,21,95.9,98
Amaretto Di Sarona,DBL,LIQUOR,1,9.75,9.75,1.9,7.85,7.85
Amaretto Di Sarona,Shot,LIQUOR,3,24,24,2.4,21.6,21.6
Amaro-Averno,,LIQUOR,1,9,9,,,
Apple Crisp,,FOOD,175,1379.66,1400,,,
Apple Juice,,BEVERAGES,36,111,111.6,,,
Apricot Brandy,Mix,LIQUOR,1,6,6,,,
B&B,DBL,LIQUOR,2,22,22,,,
BLT,,FOOD,11,134,134,,,
Bacardi Rum,Mix,LIQUOR,80,555.17,577,,,
Bacardi Rum,DBL,LIQUOR,8,61.4,64,,,
Bacardi Rum,Shot,LIQUOR,1,5,6,,,
Bailey's,RX,LIQUOR,7,60,63,16.8,43.2,46.2
Bailey's,Shot,LIQUOR,6,39,39,4.8,34.2,34.2
Bailey's,Mix,LIQUOR,5,34.5,35,7.5,27,27.5
Baked Brie,,BANQUETS,2,82.59,110,,,
Baked Potato,,FOOD,672,11.5,11.5,,,
Baked Ziti,Full,BANQUETS,1,90,90,,,
Baked Ziti,Half,BANQUETS,1,55,55,,,
Bay Fries,,FOOD,2,12,12,,,
Beefeater Gin,RX,LIQUOR,2,24,24,,,
Beefeater Gin,Mix,LIQUOR,18,132,144,,,
Beefeater Gin,Martini,LIQUOR,9,126,127,,,
Beer Sample,,DFT BEER,32,0,0,,,
Bikini Martini,,LIQUOR,132,1008.13,1056,,,
Bison Burger,,FOOD,112,1484.43,1609,,,
Black Berry Brandy,Mix,LIQUOR,3,18,18,,,
Black Berry Brandy,RX,LIQUOR,2,16,16,,,
Bombay Saphire,Mix,LIQUOR,35,298.56,315,,,
Bombay Saphire,Martini,LIQUOR,16,240,241,,,
Bombay Saphire,DBL,LIQUOR,2,21,22,,,
Bombay Saphire,Shot,LIQUOR,1,8,8,,,
Boneless Wings,Full,BANQUETS,1,62.98,70,,,
Boom Boom Shrimp,,FOOD,379,4866.54,5686.5,,,
Brandy Alexander,,LIQUOR,2,13.5,14,,,
Bread Pudding,,FOOD,98,779.15,784,,,
Brownie Sundae,,FOOD,182,1407.84,1456,,,
Brunch Bloody,,LIQUOR,115,456,460,,,
Brunch Mimosa,,GLASS WINE,224,887.2,896,,,
Btl 101 Biutiful,,BOTTLE WINE,8,288,288,,,
Btl 103 Jacoby,,BOTTLE WINE,3,80.27,90,,,
Btl 106 Kaleu Chard,,BOTTLE WINE,4,108,108,,,
Btl 107 Montoya,,BOTTLE WINE,7,248.9,252,,,
Btl 108 Ventana,,BOTTLE WINE,1,30.6,36,,,
Btl 109 Kuranui,,BOTTLE WINE,13,424.05,429,,,
Btl 111 Avia,,BOTTLE WINE,9,238.95,243,,,
Btl 201 Joliesse,,BOTTLE WINE,2,66,66,,,
Btl 202 Iris,,BOTTLE WINE,9,399.7,405,,,
Btl 203 Bogel,,BOTTLE WINE,5,132.3,135,,,
Btl 204 Prime Cut,,BOTTLE WINE,1,36,36,,,
Btl 205 Kaleu,,BOTTLE WINE,4,108,108,,,
Btl 206 Water Brook,,BOTTLE WINE,3,117,117,,,
Btl 207 Liberty,,BOTTLE WINE,5,200,200,,,
Btl 208 Camina,,BOTTLE WINE,3,81,81,,,
Btl 209 Pessimist,,BOTTLE WINE,4,140,140,,,
Btl 210 Argento,,BOTTLE WINE,7,252,252,,,
Btl 211 Aviary,,BOTTLE WINE,2,84,84,,,
Btl 212 Bruni Super,,BOTTLE WINE,2,84.58,90,,,
Btl Blue Moon,,BTL BEER,4,20.64,26,5.2,15.44,20.8
Btl Corona,,BTL BEER,60,409.89,420,,,
Btl Corona Premier,,BTL BEER,3,14.07,18,3.6,10.47,14.4
Btl Estrella,,BTL BEER,103,401.43,566.5,,,
Btl Flower,,BTL BEER,2,14,14,,,
Btl Franziskaner,,BTL BEER,32,232.37,240,,,
Btl Michelob Ultra,,BTL BEER,239,1375.64,1434,272.46,1103.18,1161.54
Btl Miller Lite,,BTL BEER,451,2386.78,2480.5,,,
Btl Ommegang,,BTL BEER,50,388.44,400,,,
Btl Stella,,BTL BEER,2,12,12,,,
Btl Stella N/A,,BTL BEER,43,286,301,,,
Btl Troegs,,BTL BEER,49,329.07,330.75,,,
Btl Victory,,BTL BEER,22,195,198,,,
Btl Yuengling,,BTL BEER,6,26.12,30,,,
Buffalo Chicken Sandwich,,FOOD,5,75,75,,,
Bulleit Bourbon,RX,LIQUOR,29,460.12,464,,,
Bulleit Bourbon,Manhattan,LIQUOR,4,75,76,,,
Bulleit Bourbon,Mix,LIQUOR,8,80,80,,,
Bulleit Bourbon,DBL,LIQUOR,3,36,36,,,
Bulleit Bourbon,Shot,LIQUOR,1,7.5,7.5,,,
Bulleit Rye,RX,LIQUOR,5,80,80,18.6,61.4,61.4
Bulleit Rye,Manhattan,LIQUOR,6,106,108,27.24,78.76,80.76
Caesar Salad,,FOOD,241,4039.79,4183,,,
Caesar Salad,Full,BANQUETS,1,50,50,,,
Cafe Foster,,LIQUOR,3,24,24,,,
Cafe vanilla,,LIQUOR,2,16,16,,,
Can Downeast,,BTL BEER,89,640.47,667.5,133.5,506.97,534
Can High Noon Black Cherry,,BTL BEER,38,286,304,94.24,191.76,209.76
Can High Noon Grapefruit,,BTL BEER,11,87,88,27.28,59.72,60.72
Can High Noon Pineapple,,BTL BEER,9,72,72,22.32,49.68,49.68
Can High Noon Watermelon,,BTL BEER,18,144,144,44.64,99.36,99.36
Can Lancaster,,BTL BEER,14,105,105,,,
Can Sweet Water,,BTL BEER,54,366.06,378,,,
Canadian Club,Mix,LIQUOR,7,43.75,43.75,10.5,33.25,33.25
Canadian Club,Manhattan,LIQUOR,6,59,60,17.7,41.3,42.3
Canadian Club,RX,LIQUOR,3,24.5,25.5,7.29,17.21,18.21
Cappucino,,BEVERAGES,46,262.69,276,20.7,241.99,255.3
Captain Morgan,DBL,LIQUOR,49,381.55,392,,,
Captain Morgan,Mix,LIQUOR,64,423.48,433,,,
Casamigos,Shot,LIQUOR,8,91.84,100,,,
Casamigos,Mix,LIQUOR,13,172.82,205.5,,,
Casamigos,DBL,LIQUOR,3,51,51,,,
Cheese Platter,,BANQUETS,1,28.55,60,,,
Cheese Tray,Full,BANQUETS,1,70,70,,,
Cheesecake du Jour,,FOOD,168,1441.16,1512,,,
Cherry Vodka,Mix,LIQUOR,4,28,28,,,
Cherry Vodka,DBL,LIQUOR,1,8.25,8.25,,,
Chicken Baltimore,,FOOD,7,112,168,,,
Chicken Burger,,FOOD,68,907.37,1034.5,,,
Chicken Cutlet Club,,FOOD,68,940.61,959,,,
Chicken Finger,,FOOD,40,331.59,403,,,
Chicken Fingers,Full,BANQUETS,3,213.38,240,,,
Chicken Marsala,,FOOD,21,378,378,,,
Chicken Parm,Full,BANQUETS,3,307.94,330,,,
Chicken Parm Family Platter,,FOOD,11,478.67,496,,,
Chicken Parmesan Sandwich,,FOOD,7,91,98,,,
Chicken Parmigiana,,FOOD,443,8019.12,8180.5,,,
Chicken Pot Pie,,FOOD,349,5501.24,5584,,,
Chicken Salad Pita,,FOOD,302,4457.15,4541.5,,,
Chili,Cup,FOOD,82,490.02,492,492,-1.98,0
Chili,Bowl,FOOD,29,223.42,232,232,-8.58,0
Chimichurri Steak Salad,,FOOD,252,4073.94,4144,,,
Chocolate Lava Cake,,FOOD,15,122,122,,,
Chocolate Milk,,BEVERAGES,30,103.5,105,16.5,87,88.5
Christain Bros,Martini,LIQUOR,3,23.5,25.5,,,
Christain Bros,RX,LIQUOR,2,14.86,16,,,
Cinco Estrella,,,4,16,16,,,
Cinco Margarita,,,56,366.55,392,,,
Club Soda,,BEVERAGES,134,266.58,269,20.1,246.48,248.9
Coconut Rum,Mix,LIQUOR,136,584.11,952,,,
Coconut Rum,DBL,LIQUOR,4,31,33,,,
Coffee,,BEVERAGES,442,1320.01,1326,66.3,1253.71,1259.7
