item,size,category,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
$10 Continental Breakfast,,BANQUETS,40,298.73,400,,,
$2 Appetizer (Per Piece),,BANQUETS,190,291.69,380,,,
$20 Lunch Ala Carte,,BANQUETS,274,3843.36,5480,,,
$23 Lunch Buffet,,BANQUETS,203,3630.73,4669,,,
$25 Buffet,,BANQUETS,224,5050.09,5600,,,
$28 Buffet,,BANQUETS,31,689.4,868,,,
$28 Lunch Buffet,,BANQUETS,220,5371.66,6160,,,
$3 Appetizer,,BANQUETS,140,369.16,420,,,
$30 Bar Package,,BANQUETS,60,1800,1800,,,
$30 Buffet,,BANQUETS,90,2383.94,2700,,,
$35 Dinner Ala Carte,,BANQUETS,203,6599.5,7105,,,
$4 Champagne Toast,,BANQUETS,41,129.19,164,,,
$40 Dinner Buffet,,BANQUETS,30,1033.25,1200,,,
$41 Dinner Ala Carte,,BANQUETS,60,2083.09,2460,,,
$45 Dinner Ala Carte,,BANQUETS,15,524.12,675,,,
$6 Hot Breakfast,,BANQUETS,40,179.24,240,,,
1800,Mix,LIQUOR,2,21,22,,,
1800,Shot,LIQUOR,4,30,30,,,
2 Room Suite,,HOTEL ROOMS,16,3157,3280,,,
Absolut,Mix,LIQUOR,21,147.39,162.5,31.5,115.89,131
Absolut,Martini,LIQUOR,16,215.36,224,48,167.36,176
Absolut,DBL,LIQUOR,8,69,72,15.2,53.8,56.8
Absolut,RX,LIQUOR,1,9,10,2.4,6.6,7.6
Absolut Citron,Martini,LIQUOR,83,1091.67,1166.5,,,
Absolut Citron,DBL,LIQUOR,2,18,18,,,
Absolut Citron,RX,LIQUOR,2,20,20,,,
Absolut Citron,Shot,LIQUOR,3,21,21,,,
Absolut Citron,Mix,LIQUOR,28,204.6,214,,,
Adult Brunch,,FOOD,1213,31086.08,32046,,,
Adult Grilled Cheese,,FOOD,12,116.14,142.5,,,
Adult Pasta,,FOOD,21,210.18,324.5,,,
Amaretto,Mix,LIQUOR,4,19.5,26,6,13.5,20
Amaretto Di Sarona,Mix,LIQUOR,8,67,68,12,55,56
Amaretto Di Sarona,RX,LIQUOR,3,33,33,7.2,25.8,25.8
Apple Crisp,,FOOD,179,1398.51,1434,,,
Apple Juice,,BEVERAGES,26,79.34,80.6,,,
Apricot Brandy,RX,LIQUOR,2,16,16,,,
B&B,RX,LIQUOR,3,37.22,39,,,
B&B,DBL,LIQUOR,1,11,11,,,
BLT,,FOOD,10,111.7,121,,,
Bacardi Rum,Mix,LIQUOR,104,703.94,753,,,
Bacardi Rum,DBL,LIQUOR,6,48,48,,,
Bailey's,DBL,LIQUOR,2,15,15,3.8,11.2,11.2
Bailey's,Mix,LIQUOR,9,62,63,13.5,48.5,49.5
Bailey's,Shot,LIQUOR,8,52,52,6.4,45.6,45.6
Bailey's,RX,LIQUOR,12,106,108,28.8,77.2,79.2
Baked Potato,,FOOD,605,0.5,0.5,,,
Bay Fries,,FOOD,3,15,18,,,
Beefeater Gin,RX,LIQUOR,3,40,40,,,
Beefeater Gin,Mix,LIQUOR,24,192.14,196,,,
Beefeater Gin,Martini,LIQUOR,11,154,154,,,
Beer Sample,,DFT BEER,48,0,0,,,
Bikini Martini,,LIQUOR,229,1934.22,1999,,,
Bison Burger,,FOOD,107,1459.82,1548.75,,,
Black Berry Brandy,RX,LIQUOR,2,16,16,,,
Bombay Saphire,Mix,LIQUOR,50,433.42,450,,,
Bombay Saphire,Martini,LIQUOR,19,283,287,,,
Bombay Saphire,DBL,LIQUOR,3,31,33,,,
Boom Boom Shrimp,,FOOD,403,5024.73,6047.5,,,
Bread Pudding,,FOOD,116,901.14,928,,,
Brownie Sundae,,FOOD,173,1330.67,1384,,,
Brunch Bloody,,LIQUOR,116,458.23,464,,,
Brunch Mimosa,,GLASS WINE,226,890.24,904,,,
Btl 101 Biutiful,,BOTTLE WINE,4,129.46,144,,,
Btl 102 Cune Rioja,,BOTTLE WINE,1,36,36,,,
Btl 103 Jacoby,,BOTTLE WINE,4,115.65,120,,,
Btl 105 Fuchs Gruner,,BOTTLE WINE,1,36,36,,,
Btl 106 Kaleu Chard,,BOTTLE WINE,2,54,54,,,
Btl 107 Montoya,,BOTTLE WINE,6,216,216,,,
Btl 108 Ventana,,BOTTLE WINE,1,30.6,36,,,
Btl 109 Kuranui,,BOTTLE WINE,8,264,264,,,
Btl 111 Avia,,BOTTLE WINE,8,216,216,,,
Btl 201 Joliesse,,BOTTLE WINE,9,280.97,297,,,
Btl 202 Iris,,BOTTLE WINE,1,45,45,,,
Btl 203 Bogel,,BOTTLE WINE,2,54,54,,,
Btl 204 Prime Cut,,BOTTLE WINE,3,97.56,108,,,
Btl 205 Kaleu,,BOTTLE WINE,6,155.39,162,,,
Btl 206 Water Brook,,BOTTLE WINE,1,39,39,,,
Btl 207 Liberty,,BOTTLE WINE,4,160,160,,,
Btl 209 Pessimist,,BOTTLE WINE,1,35,35,,,
Btl 210 Argento,,BOTTLE WINE,7,252,252,,,
Btl 211 Aviary,,BOTTLE WINE,2,84,84,,,
Btl 212 Bruni Super,,BOTTLE WINE,3,135,135,,,
Btl Corona,,BTL BEER,31,205.56,217,,,
Btl Estrella,,BTL BEER,80,310.18,440,,,
Btl Franziskaner,,BTL BEER,46,320.58,345,,,
Btl Michelob Ultra,,BTL BEER,180,1025.34,1080,205.2,820.14,874.8
Btl Miller Lite,,BTL BEER,410,2150.46,2255,,,
Btl Ommegang,,BTL BEER,44,336.37,352,,,
Btl Stella N/A,,BTL BEER,42,290.36,294,,,
Btl Troegs,,BTL BEER,52,346.85,351,,,
Btl Victory,,BTL BEER,44,390.86,396,,,
Btl Yuengling,,BTL BEER,6,27.5,30,,,
Buffalo Chicken Sandwich,,FOOD,8,99.5,122,,,
Bulleit Bourbon,RX,LIQUOR,33,513.44,528,,,
Bulleit Bourbon,Mix,LIQUOR,3,31,31,,,
Bulleit Bourbon,Manhattan,LIQUOR,11,207,209,,,
Bulleit Bourbon,Shot,LIQUOR,6,45,45,,,
Bulleit Rye,Manhattan,LIQUOR,9,155.67,162,40.86,114.81,121.14
Bulleit Rye,RX,LIQUOR,7,112,112,26.04,85.96,85.96
Bulleit Rye,DBL,LIQUOR,2,23,24,5.56,17.44,18.44
Bushmills,Mix,LIQUOR,1,6.79,8.5,,,
Bushmills,DBL,LIQUOR,2,15.18,19,,,
Caesar Salad,,FOOD,219,3777.64,3916.5,,,
Cafe Foster,,LIQUOR,3,24,24,,,
Cafe vanilla,,LIQUOR,7,56,56,,,
Can Downeast,,BTL BEER,97,698.28,727.5,145.5,552.78,582
Can High Noon Black Cherry,,BTL BEER,28,208.03,224,69.44,138.59,154.56
Can High Noon Grapefruit,,BTL BEER,16,115.39,128,39.68,75.71,88.32
Can High Noon Pineapple,,BTL BEER,19,139.28,152,47.12,92.16,104.88
Can High Noon Watermelon,,BTL BEER,10,80,80,24.8,55.2,55.2
Can Lancaster,,BTL BEER,18,135,135,,,
Can Sweet Water,,BTL BEER,46,310.34,322,,,
Canadian Club,Manhattan,LIQUOR,2,20,20,5.9,14.1,14.1
Canadian Club,Mix,LIQUOR,3,18.75,18.75,4.5,14.25,14.25
Canadian Club,RX,LIQUOR,2,16,17,4.86,11.14,12.14
Cappucino,,BEVERAGES,38,226.77,228,17.1,209.67,210.9
Captain Morgan,DBL,LIQUOR,29,231,232,,,
Captain Morgan,Mix,LIQUOR,60,385.1,405,,,
Captain Morgan,Shot,LIQUOR,1,6,6,,,
Casamigos,DBL,LIQUOR,6,97.32,102,,,
Casamigos,Mix,LIQUOR,1,13.96,17.5,,,
Champ Bomb,,LIQUOR,1,6,6,,,
Cheese Platter,,BANQUETS,1,50.95,60,,,
Cheesecake du Jour,,FOOD,171,1453.49,1481,,,
