item,size,category,sku,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
Sub House 1st,,FOOD,,6,0,0,,,
"Sunrise,Sunset",,BEVERAGES,,16,127.71,128,9.9,117.81,118.1
Surf & Turf,,FOOD,,18,854.5,876,,,
Sweet & Spicy Chicken,,FOOD,,384,3963.65,5376,979.2,2984.45,4396.8
Sweet Fries,,FOOD,,397,1234.66,1265,659.02,575.64,605.98
Tanqueray,Mug Dbl,LIQUOR,,28,285.48,298,,,
Tanqueray,Mix,LIQUOR,,95,935.63,997.5,,,
Tanqueray,Martini,LIQUOR,,11,197.32,202,,,
Tanqueray,RX,LIQUOR,,1,15,15,,,
Tanqueray,DBL,LIQUOR,,9,106,108,,,
The Usual Burger,,FOOD,,470,7158.45,7501.75,1485.2,5673.25,6016.55
Tito's,Martini,LIQUOR,,132,1884.91,1939,,,
Tito's,Mix,LIQUOR,,267,2110.29,2192,,,
Tito's,DBL,LIQUOR,,95,865.45,902.5,,,
Tito's,Mug Dbl,LIQUOR,,23,177.66,187,,,
Tito's,RX,LIQUOR,,36,412.6,434,,,
Tito's,Shot,LIQUOR,,6,40.61,42,,,
Tomato Juice,,BEVERAGES,,2,6.5,6.5,,,
Tonic Water,,BEVERAGES,,8,24,24,3.84,20.16,20.16
Twin Lobster Tails,,FOOD,,3,126,126,,,
Two Petite Filets,,FOOD,,1,45.96,55,,,
Unsweetened Ice Tea,,BEVERAGES,,707,1989.58,2050.3,311.08,1678.5,1739.22
Vanilla Vodka,Martini,LIQUOR,,155,1565.86,1817,,,
Vanilla Vodka,Mug Dbl,LIQUOR,,1,6.05,7,,,
Vanilla Vodka,Mix,LIQUOR,,5,21,35,,,
Vanilla Vodka,Shot,LIQUOR,,1,6.22,6.5,,,
Vegetable Platter,,BANQUETS,,1,42.51,45,,,
Vegetable Stir Fry,,FOOD,,219,4266.34,4603.5,565.02,3701.32,4038.48
Virgin Bloody,,LIQUOR,,5,23.49,25,,,
Virgin Strawberry Daqi,,LIQUOR,,1,7,7,,,
Wedge Salad,,FOOD,,275,4235.23,4435,596.75,3638.48,3838.25
Well Bourbon,Mix,LIQUOR,,7,36.5,43.75,,,
Well Bourbon,Manhattan,LIQUOR,,16,135.5,144,,,
Well Bourbon,DBL,LIQUOR,,2,15,15,,,
Well Bourbon,RX,LIQUOR,,21,149,178.5,,,
Well Gin,Mix,LIQUOR,,45,249.72,285.25,,,
Well Gin,Martini,LIQUOR,,10,67.7,93,,,
Well Gin,DBL,LIQUOR,,9,63.5,67.5,,,
Well Gin,Shot,LIQUOR,,1,4.84,5.5,,,
Well Rum,Mix,LIQUOR,,75,383.76,506.75,,,
Well Rum,Mug Dbl,LIQUOR,,1,6.25,6.25,,,
Well Rum,DBL,LIQUOR,,1,6.5,7.5,,,
Well Scotch,Mix,LIQUOR,,10,75.17,82.5,,,
Well Scotch,RX,LIQUOR,,7,99.7,105,,,
Well Scotch,DBL,LIQUOR,,1,9.1,10,,,
Well Tequila,Mix,LIQUOR,,127,867.87,993.75,,,
Well Tequila,Mug Dbl,LIQUOR,,1,8.25,8.25,,,
Well Tequila,DBL,LIQUOR,,8,56.09,74,,,
Well Tequila,RX,LIQUOR,,2,19,19,,,
Well Vodka,Mix,LIQUOR,,207,1164.31,1381.75,,,
Well Vodka,Martini,LIQUOR,,109,1021.77,1086,,,
Well Vodka,DBL,LIQUOR,,24,172.45,181,,,
Well Vodka,Mug Dbl,LIQUOR,,15,101.12,106.75,,,
Well Vodka,RX,LIQUOR,,4,36,36,,,
Well Vodka,Shot,LIQUOR,,1,5.5,5.5,,,
Well Whiskey,Mix,LIQUOR,,22,130.68,137.5,,,
Well Whiskey,Shot,LIQUOR,,2,9,11,,,
Well Whiskey,Manhattan,LIQUOR,,5,42.1,45,,,
Well Whiskey,RX,LIQUOR,,2,15.1,17,,,
Wine Flight,,GLASS WINE,,10,116.18,120,,,
Woodford Reserve,Manhattan,LIQUOR,,4,88,88,,,
Woodford Reserve,RX,LIQUOR,,28,578.03,588.5,,,
Woodford Reserve,Mix,LIQUOR,,4,53,55,,,
Woodford Reserve,DBL,LIQUOR,,3,44,45,,,
Zucchini Fries,,FOOD,,71,480.72,498,78.1,402.62,419.9
limoncello,,LIQUOR,,2,12.78,14,,,
Total,,,,32704,418611.69,449425.8,46966.33,,
